Head to head statistics:

   1) baseline.pb.gz            2539 :  12748000 (+9614667,=286202,-2847131),  76.5 %

      vs.                             :     games (       +,      =,       -),   (%) :   Diff,   SD, CFS (%)
      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   77,   38, 1885),   4.8 :   -489,    8,    0.0
      weights_run2_590340.pb.gz       :   2000 (  787,  453,  760),  50.7 :    +18,    7,   99.4
      weights_run2_590338.pb.gz       :   2000 (  864,  540,  596),  56.7 :    +27,    7,  100.0

5987) weights_run2_590247.pb.gz 2049 :   6000 (+1706,=697,-3597),  34.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   86,  12, 1902),   4.6 :   -490,    7,    0.0
      weights_run2_590246.pb.gz       :   2000 (  786, 249,  965),  45.5 :    -39,    7,    0.0
      weights_run2_590248.pb.gz       :   2000 (  834, 436,  730),  52.6 :    +18,    7,   99.5

5988) weights_run2_590369.pb.gz 2048 :   6000 (+1661,=816,-3523),  34.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   87,  33, 1880),   5.2 :   -491,    7,    0.0
      weights_run2_590368.pb.gz       :   2000 (  826, 358,  816),  50.3 :     -8,    7,   13.4
      weights_run2_590370.pb.gz       :   2000 (  748, 425,  827),  48.0 :     -8,    7,   14.2

5989) weights_run2_590105.pb.gz 2048 :   6000 (+1742,=797,-3461),  35.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  107,  44, 1849),   6.5 :   -491,    8,    0.0
      weights_run2_590106.pb.gz       :   2000 (  837, 321,  842),  49.9 :     +2,    6,   61.3
      weights_run2_590104.pb.gz       :   2000 (  798, 432,  770),  50.7 :     +7,    7,   85.7

5990) weights_run2_590253.pb.gz 2048 :   6000 (+1768,=933,-3299),  37.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  106,  30, 1864),   6.0 :   -491,    9,    0.0
      weights_run2_590254.pb.gz       :   2000 (  829, 381,  790),  51.0 :    +10,    7,   93.3
      weights_run2_590252.pb.gz       :   2000 (  833, 522,  645),  54.7 :    +32,    7,  100.0

5991) weights_run2_590205.pb.gz 2048 :   6000 (+1588,=1399,-3013),  38.1 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  103,   39, 1858),   6.1 :   -491,    7,    0.0
      weights_run2_590204.pb.gz       :   2000 (  704,  654,  642),  51.5 :    +18,    7,   99.6
      weights_run2_590206.pb.gz       :   2000 (  781,  706,  513),  56.7 :    +43,    6,  100.0

5992) weights_run2_590330.pb.gz 2047 :   6000 (+1620,=1110,-3270),  36.3 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   97,   66, 1837),   6.5 :   -492,    7,    0.0
      weights_run2_590329.pb.gz       :   2000 (  714,  524,  762),  48.8 :     +4,    6,   74.9
      weights_run2_590331.pb.gz       :   2000 (  809,  520,  671),  53.5 :    +18,    7,   99.5

5993) weights_run2_590082.pb.gz 2047 :   6000 (+1847,=691,-3462),  36.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  109,  22, 1869),   6.0 :   -492,    8,    0.0
      weights_run2_590081.pb.gz       :   2000 (  892, 314,  794),  52.5 :    +13,    7,   96.7
      weights_run2_590083.pb.gz       :   2000 (  846, 355,  799),  51.2 :    +15,    7,   98.4

5994) weights_run2_590122.pb.gz 2047 :   6000 (+1922,=879,-3199),  39.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   83,  24, 1893),   4.8 :   -492,    8,    0.0
      weights_run2_590121.pb.gz       :   2000 (  894, 422,  684),  55.3 :    +43,    7,  100.0
      weights_run2_590123.pb.gz       :   2000 (  945, 433,  622),  58.1 :    +45,    7,  100.0

5995) weights_run2_590154.pb.gz 2047 :   6000 (+1538,=1004,-3458),  34.0 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  109,   58, 1833),   6.9 :   -492,    7,    0.0
      weights_run2_590155.pb.gz       :   2000 (  669,  422,  909),  44.0 :    -33,    6,    0.0
      weights_run2_590153.pb.gz       :   2000 (  760,  524,  716),  51.1 :     +7,    7,   84.8

5996) weights_run2_590173.pb.gz 2047 :   6000 (+1674,=716,-3610),  33.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   95,  63, 1842),   6.3 :   -492,    8,    0.0
      weights_run2_590172.pb.gz       :   2000 (  748, 382,  870),  47.0 :    -16,    8,    1.5
      weights_run2_590174.pb.gz       :   2000 (  831, 271,  898),  48.3 :    -12,    7,    3.4

5997) weights_run2_700046.pb.gz 2047 :   6000 (+1366,=1405,-3229),  34.5 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  115,   59, 1826),   7.2 :   -492,    9,    0.0
      weights_run2_700045.pb.gz       :   2000 (  630,  583,  787),  46.1 :    -28,    7,    0.0
      weights_run2_700047.pb.gz       :   2000 (  621,  763,  616),  50.1 :    +12,    7,   96.6

5998) weights_run2_58068.pb.gz  2047 :   6000 (+1256,=771,-3973),  27.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  103,  64, 1833),   6.8 :   -492,    9,    0.0
      weights_run2_58067.pb.gz        :   2000 (  470, 422, 1108),  34.0 :   -103,    7,    0.0
      weights_run2_58069.pb.gz        :   2000 (  683, 285, 1032),  41.3 :    -66,    6,    0.0

5999) weights_run2_590198.pb.gz 2046 :   6000 (+1919,=511,-3570),  36.2 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  100,  13, 1887),   5.3 :   -493,    8,    0.0
      weights_run2_590199.pb.gz       :   2000 (  862, 265,  873),  49.7 :     -6,    6,   18.4
      weights_run2_590197.pb.gz       :   2000 (  957, 233,  810),  53.7 :    +27,    7,  100.0

6000) weights_run2_58160.pb.gz  2046 :   6000 (+1836,=625,-3539),  35.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   83,  35, 1882),   5.0 :   -493,    8,    0.0
      weights_run2_58161.pb.gz        :   2000 (  866, 238,  896),  49.3 :     -9,    6,    8.2
      weights_run2_58159.pb.gz        :   2000 (  887, 352,  761),  53.1 :    +21,    7,   99.9

6001) weights_run2_590106.pb.gz 2046 :   6000 (+1753,=671,-3576),  34.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   97,  29, 1874),   5.6 :   -493,    8,    0.0
      weights_run2_590107.pb.gz       :   2000 (  814, 321,  865),  48.7 :     -7,    7,   15.7
      weights_run2_590105.pb.gz       :   2000 (  842, 321,  837),  50.1 :     -2,    6,   38.7

6002) weights_run2_590036.pb.gz 2046 :   6000 (+1842,=1177,-2981),  40.5 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   76,   55, 1869),   5.2 :   -493,    8,    0.0
      weights_run2_590035.pb.gz       :   2000 (  905,  518,  577),  58.2 :    +51,    7,  100.0
      weights_run2_590037.pb.gz       :   2000 (  861,  604,  535),  58.1 :    +61,    7,  100.0

6003) weights_run2_590145.pb.gz 2046 :   6000 (+1923,=401,-3676),  35.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  101,  20, 1879),   5.5 :   -493,    8,    0.0
      weights_run2_590146.pb.gz       :   2000 (  883, 174,  943),  48.5 :    -13,    7,    3.5
      weights_run2_590144.pb.gz       :   2000 (  939, 207,  854),  52.1 :    +16,    6,   99.5

6004) weights_run2_700122.pb.gz 2046 :   6000 (+1522,=833,-3645),  32.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   79,  90, 1831),   6.2 :   -493,    7,    0.0
      weights_run2_700123.pb.gz       :   2000 (  649, 383,  968),  42.0 :    -48,    7,    0.0
      weights_run2_700121.pb.gz       :   2000 (  794, 360,  846),  48.7 :    -13,    7,    2.2

6005) weights_run3_714029.pb.gz 2045 :   6000 (+2142,=174,-3684),  37.1 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  132,   6, 1862),   6.8 :   -494,    9,    0.0
      weights_run3_714030.pb.gz       :   2000 (  913,  72, 1015),  47.5 :    -10,    7,    6.1
      weights_run3_714028.pb.gz       :   2000 ( 1097,  96,  807),  57.3 :    +51,    7,  100.0

6006) weights_run2_590224.pb.gz 2045 :   6000 (+1477,=1141,-3382),  34.1 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  112,   56, 1832),   7.0 :   -494,    8,    0.0
      weights_run2_590225.pb.gz       :   2000 (  656,  432,  912),  43.6 :    -36,    6,    0.0
      weights_run2_590223.pb.gz       :   2000 (  709,  653,  638),  51.8 :    +13,    7,   97.1

6007) weights_run2_590102.pb.gz 2045 :   6000 (+1613,=1098,-3289),  36.0 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   78,   51, 1871),   5.2 :   -494,    9,    0.0
      weights_run2_590101.pb.gz       :   2000 (  760,  532,  708),  51.3 :     +9,    7,   89.4
      weights_run2_590103.pb.gz       :   2000 (  775,  515,  710),  51.6 :     +9,    6,   91.9

6008) weights_run2_590180.pb.gz 2045 :   6000 (+1768,=1245,-2987),  39.8 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  118,   27, 1855),   6.6 :   -494,    8,    0.0
      weights_run2_590181.pb.gz       :   2000 (  772,  589,  639),  53.3 :    +28,    7,  100.0
      weights_run2_590179.pb.gz       :   2000 (  878,  629,  493),  59.6 :    +71,    7,  100.0

6009) weights_run2_700072.pb.gz 2044 :   6000 (+1461,=968,-3571),  32.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  110,  59, 1831),   7.0 :   -495,    7,    0.0
      weights_run2_700073.pb.gz       :   2000 (  654, 450,  896),  44.0 :    -33,    7,    0.0
      weights_run2_700071.pb.gz       :   2000 (  697, 459,  844),  46.3 :    -26,    7,    0.0

6010) weights_run2_58056.pb.gz  2044 :   6000 (+1687,=215,-4098),  29.9 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  123,  13, 1864),   6.5 :   -495,    8,    0.0
      weights_run2_58057.pb.gz        :   2000 (  803,  85, 1112),  42.3 :    -59,    7,    0.0
      weights_run2_58055.pb.gz        :   2000 (  761, 117, 1122),  41.0 :    -54,    8,    0.0

6011) weights_run2_590329.pb.gz 2044 :   6000 (+1503,=1264,-3233),  35.6 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   80,   69, 1851),   5.7 :   -495,    8,    0.0
      weights_run2_590330.pb.gz       :   2000 (  762,  524,  714),  51.2 :     -4,    6,   25.1
      weights_run2_590328.pb.gz       :   2000 (  661,  671,  668),  49.8 :    +12,    7,   95.6

6012) weights_run2_590251.pb.gz 2043 :   6000 (+1804,=1051,-3145),  38.8 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  100,   38, 1862),   6.0 :   -496,    8,    0.0
      weights_run2_590252.pb.gz       :   2000 (  829,  493,  678),  53.8 :    +27,    7,  100.0
      weights_run2_590250.pb.gz       :   2000 (  875,  520,  605),  56.8 :    +50,    7,  100.0

6013) weights_run2_590234.pb.gz 2043 :   6000 (+1781,=695,-3524),  35.5 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   90,  23, 1887),   5.1 :   -496,    8,    0.0
      weights_run2_590235.pb.gz       :   2000 (  838, 223,  939),  47.5 :    -19,    6,    0.1
      weights_run2_590233.pb.gz       :   2000 (  853, 449,  698),  53.9 :    +25,    7,  100.0

6014) weights_run2_700085.pb.gz 2042 :   6000 (+1445,=1323,-3232),  35.1 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   58,   58, 1884),   4.3 :   -497,    8,    0.0
      weights_run2_700086.pb.gz       :   2000 (  696,  560,  744),  48.8 :    -11,    6,    3.6
      weights_run2_700084.pb.gz       :   2000 (  691,  705,  604),  52.2 :    +10,    7,   91.5

6015) weights_run2_700025.pb.gz 2042 :   6000 (+1838,=1094,-3068),  39.8 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   81,   60, 1859),   5.5 :   -497,    7,    0.0
      weights_run2_700024.pb.gz       :   2000 (  873,  470,  657),  55.4 :    +39,    6,  100.0
      weights_run2_700026.pb.gz       :   2000 (  884,  564,  552),  58.3 :    +57,    7,  100.0

6016) weights_run2_700058.pb.gz 2041 :   6000 (+1706,=1102,-3192),  37.6 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   93,   49, 1858),   5.9 :   -498,    8,    0.0
      weights_run2_700059.pb.gz       :   2000 (  788,  570,  642),  53.6 :    +25,    6,  100.0
      weights_run2_700057.pb.gz       :   2000 (  825,  483,  692),  53.3 :    +26,    7,  100.0

6017) weights_run2_58170.pb.gz  2041 :   6000 (+1922,=646,-3432),  37.4 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  116,  18, 1866),   6.3 :   -498,    7,    0.0
      weights_run2_58171.pb.gz        :   2000 (  907, 299,  794),  52.8 :    +14,    7,   97.3
      weights_run2_58169.pb.gz        :   2000 (  899, 329,  772),  53.2 :    +33,    6,  100.0

6018) weights_run2_590209.pb.gz 2041 :   6000 (+1729,=901,-3370),  36.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  100,  22, 1878),   5.5 :   -498,    8,    0.0
      weights_run2_590210.pb.gz       :   2000 (  754, 250,  996),  44.0 :    -37,    6,    0.0
      weights_run2_590208.pb.gz       :   2000 (  875, 629,  496),  59.5 :    +62,    7,  100.0

6019) weights_run2_700093.pb.gz 2041 :   6000 (+1610,=830,-3560),  33.8 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   74,  44, 1882),   4.8 :   -498,    7,    0.0
      weights_run2_700094.pb.gz       :   2000 (  739, 348,  913),  45.6 :    -34,    6,    0.0
      weights_run2_700092.pb.gz       :   2000 (  797, 438,  765),  50.8 :     +4,    7,   74.2

6020) weights_run2_590084.pb.gz 2041 :   6000 (+1774,=615,-3611),  34.7 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   80,  26, 1894),   4.7 :   -498,    8,    0.0
      weights_run2_590085.pb.gz       :   2000 (  827, 252,  921),  47.6 :    -19,    7,    0.5
      weights_run2_590083.pb.gz       :   2000 (  867, 337,  796),  51.8 :     +9,    8,   86.0

6021) weights_run2_590104.pb.gz 2041 :   6000 (+1597,=1013,-3390),  35.1 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   81,   35, 1884),   4.9 :   -498,    8,    0.0
      weights_run2_590105.pb.gz       :   2000 (  770,  432,  798),  49.3 :     -7,    7,   14.3
      weights_run2_590103.pb.gz       :   2000 (  746,  546,  708),  51.0 :     +5,    7,   74.6

6022) weights_run2_700028.pb.gz 2041 :   6000 (+1658,=1501,-2841),  40.1 %

      vs.                             :  games (    +,    =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (   88,   63, 1849),   6.0 :   -498,    9,    0.0
      weights_run2_700029.pb.gz       :   2000 (  704,  824,  472),  55.8 :    +46,    7,  100.0
      weights_run2_700027.pb.gz       :   2000 (  866,  614,  520),  58.6 :    +60,    6,  100.0

6023) weights_run2_590267.pb.gz 2040 :   6000 (+1729,=660,-3611),  34.3 %

      vs.                             :  games (    +,   =,    -),   (%) :   Diff,   SD, CFS (%)
      baseline.pb.gz                  :   2000 (  115,  32, 1853),   6.5 :   -499,    8,    0.0
